,RA,DEC,Region,F115,F150,F200,F277,F356,F410,F444,F606,F814,F105,F125,F140,F160,F115_ERROR,F150_ERROR,F200_ERROR,F277_ERROR,F356_ERROR,F410_ERROR,F444_ERROR,F606_ERROR,F814_ERROR,F105_ERROR,F125_ERROR,F140_ERROR,F160_ERROR,Pointing,Object,Former_Names,X,Y,PHOTOM_RED_SHIFT,Min_Chi2,Lowest_Chi2,Lowest_Chi2_Z,EW,EW277,Area,Shape,Spikes,Dust,Blue,Pure Shape,Tier,ZEEL,Cont,Spike,mass,restU,restB
520,214.85513539391818,52.82084934618539,2,39.18357166868393,37.11690848301998,45.30648583538631,59.90256513355464,109.64271527398245,42.17769346184279,69.27891462461304,-7.549883791800268,-4.19653187497084,0.0,26.3341683924565,-5.019060222163276,31.023640758085147,3.658156867831432,4.246381679540252,3.670466028225471,2.8881996219943984,2.8849108017104554,4.774044160219862,3.978812453148005,5.660809388210149,6.457795188247026,19483725190078.965,7.868471925652627,17.34607534956537,6.451073073161486,6,nircam6-59872,6827,6317.5693,1511.9609,6.58000000000001,44.16484530885663,"[44.16484530885663, 44.78743333701706, 44.9088298225821, 45.792794474390575, 46.49809925091265, 47.26869054586056, 48.14893091415689, 48.835980671944, 48.87102185874134, 49.330738577430154]","[6.58000000000001, 6.61000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.400000000000008, 6.64000000000001, 6.370000000000008]",9727.377021263244,1549.1496376232785,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",48.82768986785012,"[356.0, 410.0, 444.0]",,42.769596,49.015644
533,214.83302835377427,52.79926957086526,2,28.758947468721264,24.40512577891861,30.565234121881616,60.70130863064891,45.60029884060139,38.1398556972218,25.938750480035413,9.289196392884977,19.76648681521889,0.0,24.89283448822187,26.750355031604563,15.23233089889533,4.023029088899175,4.468742378070747,4.314096117463138,3.4575112277393103,3.1461652424244826,6.340757322658878,4.825365910501929,5.5758119211876584,7.125200309881566,19347934364481.05,7.670735991594653,15.53051156767479,6.401380368397344,6,nircam6-61184,7448,9329.586,1059.2188,4.659999999999994,11.496314320854559,"[11.496314320854559, 11.500569310923952, 11.526120671692267, 11.530649987497375, 11.559771415062832, 11.562434099721509, 11.567395930831047, 11.594318740850706, 11.620119215005916, 11.816306882164392]","[4.659999999999994, 4.689999999999994, 4.719999999999994, 4.749999999999995, 4.629999999999994, 4.779999999999995, 4.809999999999995, 4.599999999999993, 4.839999999999995, 4.569999999999993]",3238.289921581475,6031.602912195182,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",32.23470206456335,"[356.0, 410.0, 444.0]",,21.585125,25.639841
534,214.88090376757924,52.832914820287286,1,92.61970857029903,90.86231708650723,89.19163298571408,111.95669437445677,196.29866971747896,103.3722197478716,132.92139238045687,4.2718308235445654,34.88658732815296,0.0,51.97649932590623,0.0,61.78063599867062,3.9632344495767025,5.130109191210384,3.742314189398729,2.810259731668064,2.730946538984073,4.8901040043666155,3.6609743971886575,4.177416573804083,5.175089987956345,18218056149317.016,8.028703897575008,10903552554633.518,7.683028695481986,6,nircam6-61236,7484,4004.588,1024.8427,5.830000000000004,51.20049669776812,"[51.20049669776812, 51.30971759055224, 51.34276335861524, 51.45948875901568, 51.4981330937789, 51.548074604143814, 51.59642435934444, 51.89048749500225, 51.91657080632766, 52.08136584777295]","[5.830000000000004, 5.770000000000003, 5.800000000000003, 5.740000000000003, 5.860000000000004, 6.040000000000005, 6.010000000000005, 6.070000000000006, 5.980000000000005, 5.680000000000002]",7004.302844324041,558.9648217903462,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",103.4873275242176,"[356.0, 410.0, 444.0]",,71.540886,91.82821
542,214.8596993038654,52.81603644463996,2,16.91227696364731,16.068370386350246,18.1983613196207,27.694552888191236,42.61312457881795,25.200892134416044,35.44077570420721,-0.9800892901453335,-1.3421140675725127,0.0,9.828995107037061,10.322007677599409,21.75909111624158,3.419082582306622,4.1953841291471115,3.3979549700878087,3.608611255829027,2.507417707092546,4.46933919576937,4.152306432931625,6.0377363592584095,6.746684683830395,18641675248860.863,9.13999258366105,15.535620989987658,8.001216336063809,6,nircam6-61715,7865,6543.6904,885.8787,6.58000000000001,3.601608796301987,"[3.601608796301987, 3.664106478590695, 3.7655616286736997, 3.7814666383790865, 3.8510213784512963, 3.948185127475789, 4.06424823176149, 4.1739714177711, 4.279874296113852, 4.419725441418197]","[6.58000000000001, 6.55000000000001, 6.520000000000009, 6.61000000000001, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.400000000000008, 6.370000000000008, 6.340000000000008]",7316.613545741097,1767.305509843918,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",22.001520826468827,"[356.0, 410.0, 444.0]",,14.261337,17.219625
543,214.86327032025827,52.81797867309761,2,30.443332738686042,24.07028438802694,22.178633236321293,48.5529114424642,26.476066208546644,25.43202085252639,16.551815627639076,5.613016334877953,25.64445886742975,0.0,14.255718016796285,9.099102427904226,22.229054069871925,2.9915152365494837,4.0302834124839375,3.034208066580975,2.591804132514209,1.97019499262746,3.9644644721051363,3.065836764789312,4.44916437088649,5.317204362743649,14793632067870.846,6.717106591236389,12.287413470093213,5.92453666415061,6,nircam6-61812,7952,6198.4062,839.2816,4.869999999999996,22.27782612496663,"[22.27782612496663, 23.572727779152498, 23.587244686047615, 24.079591258745637, 24.116008184021382, 25.359655269666412, 25.59962188794899, 26.098900442253658, 26.548908450012974, 26.98404286357728]","[4.869999999999996, 4.839999999999995, 0.5800000000000003, 0.5500000000000003, 0.6100000000000003, 4.809999999999995, 0.6400000000000003, 4.779999999999995, 4.749999999999995, 4.719999999999994]",229.56199612532475,6063.293742239668,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",25.72006748482146,"[356.0, 410.0, 444.0]",,23.118685,27.602644
545,214.88117528633336,52.83030240547136,1,74.28731878660898,60.86600546890029,72.79603031325173,122.34260821608949,97.06596509812803,60.72685688049315,56.573359988410935,14.835120915809634,51.81474447652597,0.0,45.10039292460636,56.89522322784318,63.336339338224775,4.174926357523391,4.4781066552582125,3.545768891402548,3.0705552135358776,2.6427382992764685,5.424887190533785,4.059729686830949,5.226868995433573,6.567907409194163,19173291702061.223,8.506385199192586,16.24659568756773,7.741553713434819,6,nircam6-61882,8010,4230.775,806.8913,4.719999999999994,20.409801411913975,"[20.409801411913975, 20.587522376685943, 20.627824121062304, 21.077366488320383, 21.406101956165866, 21.645581254740367, 21.96201874237163, 22.66274515333168, 22.94850498069126, 23.904163492347912]","[4.719999999999994, 4.749999999999995, 4.689999999999994, 4.659999999999994, 4.779999999999995, 4.629999999999994, 4.599999999999993, 4.569999999999993, 4.809999999999995, 4.539999999999993]",2960.4091632744694,5041.692256035252,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",70.38592275596551,"[356.0, 410.0, 444.0]",,55.725815,66.46978
547,214.90368278355328,52.84491405676363,1,19.86248665676273,25.04675300697896,24.857874909036685,24.555997157115048,49.733679157876324,24.016571530140578,35.5337786612748,-3.016225826241953,8.00264642087243,0.0,21.903847492985914,29.997145003354,15.385782768420475,2.668434232486693,3.148675643360962,2.600235262785231,2.7018782232304983,2.3839322300150196,4.9557000708066115,3.821887984118221,3.972270713020186,4.10118234339998,13381455482471.262,5.17346584885197,7.079908362291175,4.5204887810315615,6,nircam6-62174,8452,1838.1409,698.8839,6.280000000000007,12.1184730446053,"[12.1184730446053, 12.126290578005406, 12.227742210466648, 12.268313313086649, 12.442594340839888, 12.465838016851729, 12.486748285206417, 12.522623952714005, 12.686466943388073, 12.766920824067522]","[6.280000000000007, 6.310000000000008, 6.250000000000007, 6.340000000000008, 6.58000000000001, 6.220000000000007, 6.61000000000001, 6.370000000000008, 6.55000000000001, 6.400000000000008]",7335.692936511151,,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",25.6455769868848,"[356.0, 410.0, 444.0]",,17.88527,23.316854
548,214.88879272864793,52.83391938356852,1,73.96006467968486,83.19205578308042,84.84313625719453,128.99923125626214,195.68089127926115,132.42698052699018,164.16505958185516,8.255256630953438,8.261725416085403,0.0,65.59690120950816,41.83934328525605,66.3775733104149,6.345327864486553,7.286564709387361,6.077419336833926,4.5709262337583025,4.183815674132981,8.366783960848062,5.556003017616111,7.76166329988219,8.55879331329635,28720892797079.03,11.753651267965655,17.605964282643416,10.471618484836453,6,nircam6-62250,8302,3542.4404,667.0114,6.58000000000001,15.296357367585697,"[15.296357367585697, 15.441592607739166, 15.475303289222518, 15.489997811071559, 15.493790614729171, 15.505987248827575, 15.514718422195104, 15.612757213387564, 15.632828875849071, 15.643716488820747]","[6.58000000000001, 6.130000000000006, 6.61000000000001, 6.55000000000001, 6.160000000000006, 6.190000000000007, 6.100000000000006, 6.520000000000009, 6.220000000000007, 6.490000000000009]",5062.301481675932,591.0366602086499,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",118.72529268107648,"[356.0, 410.0, 444.0]",,46.991093,73.259834
555,215.06294540079512,52.9471130771491,2,71.74587527933369,100.91451797147589,104.31072380998027,166.24489397098534,237.50400880997134,184.93098283836756,238.4388131360969,7.775178131265492,7.718064893818459,72.70439568619474,60.68557807735803,38.176680353277085,57.712356298344005,4.359580818395189,6.6921727614058915,5.33590856296329,3.9671964911480986,3.327517867800529,7.9294114418560815,6.813788456791359,6.063534319126177,8.590260509946877,14.455541243994666,8.923417486889672,21.32558662866476,8.004521432208112,7,nircam7-63814,-1,8391.92,4793.0415,6.160000000000006,30.47715483906069,"[30.47715483906069, 30.48694900636555, 30.559733715662396, 30.565947460618112, 30.66995957418598, 30.730989070120305, 30.88848596288736, 30.897476442456007, 31.003532341523616, 31.127016919404085]","[6.160000000000006, 6.130000000000006, 6.100000000000006, 6.190000000000007, 6.070000000000006, 6.220000000000007, 6.040000000000005, 6.250000000000007, 6.280000000000007, 6.310000000000008]",7348.608587879755,1332.8349612062482,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",139.10027964770225,"[356.0, 410.0, 444.0]",,26.533997,37.114574
559,215.1050083387236,52.975473052909955,1,20.66336073110962,24.570445475348347,20.532646147686602,38.481646862811694,26.280127750834815,21.485671886425393,19.522758540635117,1.7168386419238222,24.101823792100557,2.3109894474785213e-40,25.684790670867613,0.0,8.11680975152009,3.16621548706219,4.7142654327890625,3.8540722597882047,3.7427185364571316,2.3442258220692747,6.354150184654321,4.915355798399464,5.4120566021511625,7.253264001084903,19881050037525.88,8.66800643801845,12005619160863.486,7.1357566938867825,7,nircam7-64081,-1,3829.4458,4691.8066,4.839999999999995,8.188136885503212,"[8.188136885503212, 8.280001145958561, 8.402569239728507, 8.557838712185212, 8.626275459497288, 8.717871971009, 8.842440569674213, 8.976793704375964, 9.18234031692477, 9.376528785964886]","[4.839999999999995, 4.809999999999995, 4.779999999999995, 4.749999999999995, 4.869999999999996, 4.719999999999994, 4.689999999999994, 4.659999999999994, 4.629999999999994, 4.599999999999993]",1445.4709625728433,5022.0744324640345,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",22.17583508867332,"[356.0, 410.0, 444.0]",,15.286913,19.787195
561,215.10655686270817,52.97582312010784,1,99.45973729542662,91.74632659842301,89.3989732269747,113.8008778189954,227.70236482380906,63.87680286341972,126.68330832881506,-9.74777311154325,9.607834469861642,0.0,90.83634901482918,0.0,82.67630884615927,2.8012056649795682,4.274172516985328,3.43117019828829,3.0918740425031865,2.191678584628442,5.596636534151246,4.2105721863938514,4.024516348999449,5.7038869172937146,15576496654143.574,6.316187991855179,9408457866983.691,5.471900370166794,7,nircam7-64206,-1,3724.8074,4634.047,6.520000000000009,51.42246521657206,"[51.42246521657206, 51.52043582989617, 51.72308824883289, 52.31430523062237, 53.17184899936901, 53.32491254875527, 54.02029593073936, 54.891821596981096, 56.25261843102324, 57.82731759204989]","[6.520000000000009, 6.55000000000001, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.58000000000001, 6.400000000000008, 6.370000000000008, 6.340000000000008, 6.310000000000008]",9253.82889785039,628.0317611274152,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",104.21784465372696,"[356.0, 410.0, 444.0]",,81.80234,97.46153
565,215.06656938492665,52.94577924816839,2,40.07420421035109,45.95358252890287,51.769827115615925,90.14698630627218,65.9399230259361,42.33865069202495,38.21055858902151,36.974544880668795,46.93319938406513,61.56258001909526,39.412286966463746,38.665000790857114,33.03144122709267,2.3054572358218333,3.862989375346319,3.078736549502188,2.189885000741201,1.534936967825672,4.05691428173752,2.953797380529485,3.6425182449693643,4.610357852844116,8.052806203074251,5.139284172705812,11.267479623992015,4.387481167274679,7,nircam7-64576,-1,8343.494,4489.8247,4.1199999999999894,24.014939483646003,"[24.014939483646003, 24.63331181789621, 25.028025147307385, 25.146048688573828, 25.475134831456433, 25.86610474494623, 25.90759638154079, 26.95960510585583, 27.53534530775356, 28.18564154619065]","[4.1199999999999894, 4.089999999999989, 4.059999999999989, 3.9999999999999885, 4.029999999999989, 3.9699999999999886, 4.14999999999999, 4.17999999999999, 4.20999999999999, 4.23999999999999]",3059.1130863912063,6164.708858948383,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",47.38112436030874,"[356.0, 410.0, 444.0]",,-5.228617,6.9501467
569,215.12482337935012,52.985718864922546,1,43.332570719431644,49.28359304858513,61.20863343632687,116.90374652545832,79.06171290033313,44.373438812087514,56.13781123642385,14.947321710240493,56.71667482368608,0.0,81.74449166715371,0.0,35.75794365407358,4.931068569150697,6.930157310430876,5.597049842759523,5.806398293669982,3.3079028528051655,8.464792446420569,8.145604710684957,7.148490747201604,9.851320651902272,27883427727796.582,11.371584202133585,16781487195595.344,9.951955416608413,7,nircam7-64762,-1,1964.5626,4402.6846,4.659999999999994,26.381393230746532,"[26.381393230746532, 26.44363658322588, 26.517689433666053, 26.522619357394973, 26.709492596419512, 26.795382558968537, 27.033515057674933, 27.161166540127336, 27.175141754086557, 27.34138926170909]","[4.659999999999994, 4.689999999999994, 4.599999999999993, 4.629999999999994, 4.719999999999994, 4.569999999999993, 4.749999999999995, 4.269999999999991, 4.299999999999991, 4.539999999999993]",3302.34779983924,7539.369279541845,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",55.56629335886469,"[356.0, 410.0, 444.0]",,4.0089355,7.9987187
576,215.11711059131946,52.97617487324249,1,32.7436317056053,18.573181240180354,26.904283294031195,36.6164290501832,53.57090006550914,31.07939313473555,49.44615606195274,2.9385973694764838,22.140189537328244,0.0,8.235529336078615,0.0,33.516570406688636,2.663158972840484,3.7248362994251893,3.2780585063503955,3.021318777829964,2.1525945001189286,7.1862627454877,4.502125585653608,4.781295571435878,8.332372347971987,17479534599277.443,8.623820075856916,10551665955911.035,8.857945152849016,7,nircam7-65545,-1,3197.161,4081.8416,5.650000000000002,11.522962931481551,"[11.522962931481551, 11.637303801999062, 11.841390540713492, 12.04801903315056, 12.3796770487816, 12.864684341369923, 13.024672553400604, 13.296802880759188, 13.626380111189821, 13.92642873436118]","[5.650000000000002, 5.680000000000002, 5.620000000000002, 5.710000000000003, 5.740000000000003, 5.770000000000003, 5.590000000000002, 5.800000000000003, 5.830000000000004, 5.860000000000004]",5691.969969676784,1025.595129905869,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",31.835934296138813,"[356.0, 410.0, 444.0]",,26.435293,30.353008
