,RA,DEC,Region,F115,F150,F200,F277,F356,F410,F444,F606,F814,F105,F125,F140,F160,F115_ERROR,F150_ERROR,F200_ERROR,F277_ERROR,F356_ERROR,F410_ERROR,F444_ERROR,F606_ERROR,F814_ERROR,F105_ERROR,F125_ERROR,F140_ERROR,F160_ERROR,Pointing,Object,Former_Names,X,Y,PHOTOM_RED_SHIFT,Min_Chi2,Lowest_Chi2,Lowest_Chi2_Z,EW,EW277,Area,Shape,Spikes,Dust,Blue,Pure Shape,Tier,ZEEL,Cont,Spike,mass,restU,restB
287,214.79290403066233,52.82229622851477,2,40.29514534415819,36.353067931737534,42.81539655408188,92.25319110170138,57.12723404029085,28.265401776956423,33.05471343064653,8.571891678934877,35.825757822893586,0.0,34.08273515731862,12.391329756963403,31.44877549225384,2.9752108958468666,3.5994655841838457,3.072888842541694,2.5484572065592483,2.0753438618454707,4.206884116405851,3.2578700790152437,4.19532877600401,4.404981863111349,13905147377516.623,6.402217771042313,9.520842109048488,5.404645471220849,3,nircam3-30849,7944,8340.911,751.04,4.689999999999994,37.69797973050101,"[37.69797973050101, 37.71088345640936, 38.07857351206478, 38.13346956507466, 38.870617608768924, 39.388068017332124, 39.503151493325795, 40.654844874468, 42.270550314281536, 42.35267444805394]","[4.689999999999994, 4.719999999999994, 4.659999999999994, 4.749999999999995, 4.629999999999994, 4.779999999999995, 4.599999999999993, 4.569999999999993, 4.539999999999993, 4.809999999999995]",3442.0339437235334,9060.549077692143,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",39.651826512978566,"[356.0, 410.0, 444.0]",,10.543585,16.59304
289,214.84863380254134,52.86126816848707,1,76.83891703743414,74.9271738309792,90.96742167699533,189.016797372962,124.07081227253215,86.98446290355349,81.66932546123292,-4.845433836102036,53.99692367913789,0.0,65.45334503478738,57.88468250587187,68.2598122108066,4.964806584700032,5.80787235293944,5.430093584105504,3.792932355133399,3.6812662554261606,6.3884734468370645,5.623880854340648,6.530383759270712,7.523244897140358,24026053283063.348,9.578442859776773,15.615498848350947,8.475196515954991,3,nircam3-31168,8016,2161.542,694.741,4.779999999999995,50.516553423898046,"[50.516553423898046, 50.85174268916341, 51.25212499382181, 51.47704457491947, 51.76032554647591, 51.825022902492094, 51.987065154573116, 52.95882175520669, 53.0148176912315, 54.16743798171762]","[4.779999999999995, 4.749999999999995, 4.809999999999995, 0.6400000000000003, 4.719999999999994, 0.6700000000000004, 0.6100000000000003, 4.689999999999994, 0.5800000000000003, 0.7000000000000004]",3047.9142232677705,7635.946384307862,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",89.24301886378787,"[356.0, 410.0, 444.0]",,67.513405,79.993546
295,214.71506849075485,52.76228089438487,2,41.065306095538055,42.69857539732316,48.703263276419044,102.97613272991927,76.64865467015491,38.14284757419178,53.167413820143786,36.08211283033286,35.26990272773557,0.0,31.368089742333645,47.21008394711772,20.750179038953497,3.3050323230486027,3.798243756746402,3.560389336911524,2.516937985949275,2.442676921397041,4.523166365815818,3.6450481386730402,4.751379733994098,6.20985751924225,8001248946214.998,7.5967100748005345,13.903463951207433,5.998015172151272,4,nircam4-32326,-1,7829.0205,4357.6343,4.1199999999999894,43.03793265479524,"[43.03793265479524, 43.277853329751466, 43.347742779032714, 43.76337594360012, 43.85488378677148, 44.44573832908205, 44.53450111125663, 44.66159075851097, 44.94387148708559, 45.107530989981726]","[4.1199999999999894, 4.14999999999999, 4.089999999999989, 4.17999999999999, 4.059999999999989, 4.20999999999999, 3.9999999999999885, 4.029999999999989, 0.6100000000000003, 0.6400000000000003]",4145.540567536915,7216.590723722355,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",50.07101013896179,"[356.0, 410.0, 444.0]",,4.4690356,8.872307
298,214.7656449182478,52.7942971507979,1,27.006405101000166,32.48547917097133,31.7450740463776,41.466665163512246,94.1509094691757,28.36829734713606,45.630938789042325,5.540993101418572,-1.146148662243466,0.0,25.060201482337042,35.463485254718094,32.88607999106497,3.0951998497851934,3.5956578641387598,3.2543268939293033,2.673887443315754,2.650977414766834,4.4750138203002585,4.037325574519898,4.03655082968457,4.67547556348586,7589950696989.137,6.688336359725856,9.44083083485325,5.082545529797428,4,nircam4-33156,-1,2524.7278,4036.382,6.61000000000001,42.40695266995969,"[42.40695266995969, 43.241104538323626, 44.381493610493735, 44.85920707035261, 46.2216846158964, 47.14780043762207, 48.014823426645506, 48.82604164288816, 49.58278817406616, 50.338668330098315]","[6.61000000000001, 6.58000000000001, 6.64000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.400000000000008, 6.370000000000008]",13534.221487202538,1390.9986912654572,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",34.45047660300662,"[356.0, 410.0, 444.0]",,13.828995,27.058638
304,214.73236700930048,52.76587502800977,2,26.76815824950178,30.760076832980563,23.774633151526427,26.872008220993955,57.53687232204606,14.085101313257107,31.690573228448784,-0.3100449195822501,1.4639151167648028,0.0,15.057264936783625,24.946385036361736,40.35522894536197,2.8674992041468452,3.3160219660460584,2.626694617339565,1.9167810747972416,1.9391848159705785,3.792392076973057,2.7513696682687527,2.7170902133173853,4.3603490090523795,6196506157166.581,6.253950333114609,8.500083105202878,5.849807866946711,4,nircam4-33997,-1,6688.6216,3677.0151,6.58000000000001,22.329174801679073,"[22.329174801679073, 22.49593442277737, 22.975224950289558, 23.375635253699173, 23.435504360005815, 24.045784794186556, 24.927184222197926, 25.942677492289544, 27.22101965379703, 27.223744972502253]","[6.58000000000001, 6.55000000000001, 6.520000000000009, 6.61000000000001, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.400000000000008, 6.64000000000001, 6.370000000000008]",8254.116400876484,,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",27.973089936690304,"[356.0, 410.0, 444.0]",,19.0988,23.836515
312,214.786543064521,52.79815313816014,1,37.17722564231635,33.57624351799795,33.87515713056802,36.4768469216765,58.269732737402826,33.31906184956283,50.65798254751386,2.0475642628897854,15.727247997117853,0.0,32.497085143086935,14.345731045228625,28.547148472942002,3.054466485157332,3.4600895094319744,2.9373952500163525,2.5922623892664554,2.403832160064375,4.767451170230733,4.043083649975634,3.0490929833898006,3.3956182953771283,6729588623607.197,6.721478550547786,10.240649540079001,4.7616846127978025,4,nircam4-35274,-1,1191.6617,3178.2986,5.770000000000003,6.359676321654888,"[6.359676321654888, 6.399613578814318, 6.435335802317635, 6.547739990917734, 6.675324982689737, 6.736396482726934, 6.748767232651479, 6.753153897964174, 7.0285619813912685, 7.299074383697992]","[5.770000000000003, 5.740000000000003, 5.800000000000003, 5.830000000000004, 5.680000000000002, 5.710000000000003, 5.860000000000004, 5.650000000000002, 5.890000000000004, 5.920000000000004]",5235.372674120528,311.6806238388384,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",34.884907012424335,"[356.0, 410.0, 444.0]",,33.097763,36.381535
317,214.71458225253068,52.74474152135666,2,41.62287699417111,37.97601212172823,28.608042895995514,30.794833510758917,61.74604001338219,22.087049550260563,39.30526343166154,4.83717544011936,15.152804222198247,0.0,32.27142617429394,44.89460136670624,12.27638032625209,3.185924940315231,3.427376427536077,2.7781746316746276,2.4235900971710196,2.4301029312582223,5.411015707440222,3.4773966420312528,4.61561747935914,8.23500190444551,6646603950366.744,6.498809931218501,11.986847461805699,5.881088189928118,4,nircam4-35703,-1,9459.115,3025.7466,6.280000000000007,18.17685679900946,"[18.17685679900946, 18.290424206621992, 18.4567106336099, 18.92561302899368, 19.00353776611637, 19.751950786010426, 19.888125330431237, 20.464588382213222, 20.65588947613222, 21.020560757114445]","[6.280000000000007, 6.310000000000008, 6.250000000000007, 6.340000000000008, 6.220000000000007, 6.190000000000007, 6.370000000000008, 6.160000000000006, 6.400000000000008, 6.130000000000006]",5712.646171959675,,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",35.66140579086306,"[356.0, 410.0, 444.0]",,31.391195,37.099403
321,214.74386026074777,52.761617911759686,2,52.05182147419135,49.231620862899064,51.29281994604173,62.329546829858614,113.0594464508484,35.1963451394851,67.95898237264443,3.471694343019807,7.468491469081807,0.0,38.88627080131525,54.93986176737583,51.788735061950966,3.627302032190871,4.111343858661388,3.4904851111267154,2.8195364644733147,2.687470281597804,5.032058440774736,4.4138563605891,3.8756255633821306,5.582131797467979,8478247604065.481,9.646870139078022,13.288410285982772,7.217328721902811,4,nircam4-36482,-1,6539.6216,2709.932,6.55000000000001,23.350932557853863,"[23.350932557853863, 23.58567997875935, 23.732640149157227, 24.14113322224377, 24.70049902062975, 25.487464492881077, 25.955141137074754, 26.268834478665948, 27.060832422179043, 27.921340812032984]","[6.55000000000001, 6.58000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.430000000000009, 6.61000000000001, 6.400000000000008, 6.370000000000008, 6.340000000000008]",7798.062639106631,694.9875145658306,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",56.57295829712704,"[356.0, 410.0, 444.0]",,43.11922,52.740135
325,214.77391096230204,52.77698579319875,1,46.810385215678366,46.02126198192074,49.784739502610726,103.88100512836239,69.91295929566566,31.592059482113793,42.6988388759732,28.38953815444771,38.800590681989334,0.0,23.081732231364924,42.151040444745696,20.05861627545856,4.238136106000666,5.354444823633091,4.104231551591362,3.762007056813197,3.754256589232101,6.252280223061685,5.311962249307135,6.430225547413301,7.554380650334603,11151869909899.17,10.260951308694972,13.71086023007044,6.932376346679663,4,nircam4-37231,-1,3722.4312,2236.147,4.299999999999991,38.07855812047239,"[38.07855812047239, 38.12720066458072, 38.223798725856064, 38.258221016979554, 38.45276771602025, 38.54066976715621, 38.605489419498774, 38.65372876333317, 38.80788660874224, 39.110470219156205]","[4.299999999999991, 4.269999999999991, 4.329999999999991, 4.23999999999999, 4.20999999999999, 4.17999999999999, 4.359999999999991, 4.14999999999999, 4.1199999999999894, 4.389999999999992]",2886.70679931584,7069.469319639644,Top,s277-bc-nd,s277,nd,bc,s277-nd,1A,"[4, 5.5]",51.045636974369735,"[356.0, 410.0, 444.0]",,10.434992,18.556591
328,214.77896172919475,52.77910877399236,1,24.192325029765364,21.82364021045549,22.699887625156688,31.086998938103147,46.27183243999149,18.524267178906257,30.1212432838747,-3.7326558900404136,-5.247460728074364,0.0,29.208200046500746,39.18296615340519,25.08735643787391,4.305463764703545,4.783331188487459,4.00844955429954,4.086559099172618,3.4457020332425774,6.0469959624540035,5.371296527990889,5.6527149254676,6.494700896317829,10500432029486.336,10.208143770545822,13.03410836243203,7.712504327567075,4,nircam4-37640,-1,3291.0818,2121.0151,6.58000000000001,6.0058551955651,"[6.0058551955651, 6.130154783402309, 6.164321410244354, 6.368190907826207, 6.5522528206944335, 6.752040756665083, 6.896738217758137, 6.975976816742024, 7.18167244293244, 7.368069164829143]","[6.58000000000001, 6.61000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.64000000000001, 6.430000000000009, 6.400000000000008, 6.370000000000008]",6097.466937266528,1341.0864564608592,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",25.98481901747108,"[356.0, 410.0, 444.0]",,20.671434,24.25506
336,214.7907396179154,52.78162356234253,1,21.502042605973188,28.32143555845899,30.565770300149975,39.767978260451756,87.99050111351072,30.579850483676285,55.18688664249895,-4.511659275928657,0.9546797432843633,1.3173544577966353e-07,16.396650289732204,-30.93807341195488,30.319404507841853,3.608510915570454,4.460914140733988,3.7849524598652216,3.427061127015809,3.2287863326026898,5.772113416940412,5.332990774273744,4.491367567033358,5.248232472178814,10001006687592.537,13.0378220961546,16.746814526150217,7.057103648266593,4,nircam4-38643,-1,2508.2458,1663.7622,6.58000000000001,39.47547255028811,"[39.47547255028811, 39.58272750012908, 39.957394054193756, 40.472134923903376, 40.88586860235798, 41.35786803898397, 41.369641398850526, 41.95158044731521, 42.5288465694921, 43.09480936353976]","[6.58000000000001, 6.61000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.64000000000001, 6.430000000000009, 6.400000000000008, 6.370000000000008]",12213.093986081023,1084.0461296231206,Top,s356s444-bc-nd,s356s444,nd,bc,s356s444-nd,1A,"[5.6, 7]",34.32066064186819,"[356.0, 410.0, 444.0]",,25.98409,29.531158
337,214.79049814499822,52.781525111834604,1,351.88363209406,372.3361196329372,396.21916978910554,570.0204153301029,952.3367722718554,455.89454547216496,767.227311338479,9.499364135270119,103.02823945237458,3.0644897476662975e-06,353.2978623638275,403.15743985639006,343.0780796135836,6.579301989495767,8.333720370022899,6.48326945829878,5.797728563272615,6.104445925392022,8.26386817359318,7.4314537421535904,5.147878370120286,6.544626368375329,11012925575852.268,10.19994951792496,18.689481729979494,8.338219614554028,4,nircam4-38680,-1,2528.5894,1669.4978,6.070000000000006,41.52267394121339,"[41.52267394121339, 41.88221785592371, 42.21959877867728, 43.18022691028514, 43.77469588822252, 45.36958958054228, 46.27052039906516, 48.352723545499806, 49.64279489737845, 52.12710964608183]","[6.070000000000006, 6.040000000000005, 6.100000000000006, 6.010000000000005, 6.130000000000006, 5.980000000000005, 6.160000000000006, 5.950000000000005, 6.190000000000007, 5.920000000000004]",9516.476898137014,2239.425756807969,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",429.27077646367417,"[356.0, 410.0, 444.0]",,221.98335,274.96283
354,214.76216264119637,52.75471002180519,2,71.19790219599734,71.47671811542243,89.45963239298176,158.50825224238838,113.26323005577878,57.765669659117655,66.75395471246198,37.70184435003627,68.46479644040728,0.0,75.50837778358088,79.80933964023886,84.96108114766257,2.959102885713297,3.316954020793975,2.7948045403017785,2.4621242054072097,2.2844908644242023,4.463416170593785,3.2271158606441293,4.512551205160569,5.799663986608788,7331472187278.331,7.991329490668697,12.944496094606414,6.436101753963075,4,nircam4-40089,-1,6313.7036,1159.8491,4.299999999999991,34.790712446045156,"[34.790712446045156, 34.9034921974961, 35.35118491511938, 35.649226524876724, 36.226618349566905, 36.86165125302351, 37.271555118387425, 37.97346853333768, 38.5168684841265, 38.6212926285806]","[4.299999999999991, 4.269999999999991, 4.329999999999991, 4.23999999999999, 4.359999999999991, 4.20999999999999, 4.389999999999992, 4.17999999999999, 4.1199999999999894, 4.14999999999999]",3484.577021912125,6993.0085228026355,Top,s277-nbc-nd,s277,nd,nbc,s277-nd,1A,"[4, 5.5]",78.31951785529331,"[356.0, 410.0, 444.0]",,17.015646,25.277822
356,214.8049440095444,52.78494253031286,1,45.034447644944876,55.63911717141899,54.87434435077236,89.23708000782217,138.9185990893079,88.27224003230712,114.64816271240963,9.970346888973024,7.179860777194218,3.175203004745854e-40,35.72874052724986,91.29531632936535,67.77759188965298,3.7089089419991854,4.337576974278495,3.6231697507576146,3.335084834467948,3.747383664488414,6.114523960786761,5.455416042417041,4.5970943584442,4.763173097219349,9431652672394.998,8.914605159134672,15.997776040907802,6.7038282802104145,4,nircam4-40159,-1,1537.8834,1134.7225,6.58000000000001,28.17126712630048,"[28.17126712630048, 28.225537689586076, 28.324387193648075, 28.398229525642016, 28.548170135953796, 28.602723257089593, 28.84022967163476, 29.235196176659716, 29.777878741740864, 30.24299472911018]","[6.58000000000001, 6.55000000000001, 6.520000000000009, 6.490000000000009, 6.460000000000009, 6.61000000000001, 6.430000000000009, 6.400000000000008, 6.370000000000008, 6.64000000000001]",5661.971026388025,738.080899792826,Top,s356s444-nbc-nd,s356s444,nd,nbc,s356s444-nd,1A,"[5.6, 7]",80.53418885494605,"[356.0, 410.0, 444.0]",,61.90684,83.30654
